route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_14,-74.00461944,40.71618152,2016/3/5 18:52:50,rider,onboard
5_70_rider_14,-74.00466401,40.71612883,2016/3/5 18:52:55,rider,onboard
5_70_rider_14,-74.00470858,40.71607614,2016/3/5 18:53:00,rider,onboard
5_70_rider_14,-74.00475315,40.716023449999994,2016/3/5 18:53:05,rider,onboard
5_70_rider_14,-74.00479772,40.71597076,2016/3/5 18:53:10,rider,onboard
5_70_rider_14,-74.00484229,40.71591807,2016/3/5 18:53:15,rider,onboard
5_70_rider_14,-74.00488686,40.71586538,2016/3/5 18:53:20,rider,onboard
5_70_rider_14,-74.00493143,40.71581268999999,2016/3/5 18:53:25,rider,onboard
5_70_rider_14,-74.004976,40.715759999999996,2016/3/5 18:53:30,rider,onboard
5_70_rider_14,-74.004976,40.715759999999996,2016/3/5 18:53:35,rider,onboard
5_70_rider_14,-74.00519800000001,40.715498,2016/3/5 18:53:40,rider,onboard
5_70_rider_14,-74.00542,40.715236,2016/3/5 18:53:45,rider,onboard
5_70_rider_14,-74.00542,40.715236,2016/3/5 18:53:50,rider,onboard
5_70_rider_14,-74.00565325,40.7149586,2016/3/5 18:53:55,rider,onboard
5_70_rider_14,-74.0058865,40.7146812,2016/3/5 18:54:00,rider,onboard
5_70_rider_14,-74.0058865,40.7146812,2016/3/5 18:54:05,rider,onboard
5_70_rider_14,-74.0060953,40.71442725,2016/3/5 18:54:10,rider,onboard
5_70_rider_14,-74.0063041,40.71417329999999,2016/3/5 18:54:15,rider,onboard
5_70_rider_14,-74.0063041,40.71417329999999,2016/3/5 18:54:20,rider,onboard
5_70_rider_14,-74.00652855,40.71389565,2016/3/5 18:54:25,rider,onboard
5_70_rider_14,-74.006753,40.713618,2016/3/5 18:54:30,rider,onboard
5_70_rider_14,-74.006753,40.713618,2016/3/5 18:54:35,rider,onboard
5_70_rider_14,-74.0069892,40.713331350000004,2016/3/5 18:54:40,rider,onboard
5_70_rider_14,-74.00722540000001,40.713044700000005,2016/3/5 18:54:45,rider,onboard
5_70_rider_14,-74.00722540000001,40.713044700000005,2016/3/5 18:54:50,rider,onboard
5_70_rider_14,-74.00726163333334,40.71300271666667,2016/3/5 18:54:55,rider,onboard
5_70_rider_14,-74.00729786666668,40.71296073333334,2016/3/5 18:55:00,rider,onboard
5_70_rider_14,-74.00733410000001,40.71291875,2016/3/5 18:55:05,rider,onboard
5_70_rider_14,-74.00737033333334,40.71287676666667,2016/3/5 18:55:10,rider,onboard
5_70_rider_14,-74.00740656666667,40.712834783333335,2016/3/5 18:55:15,rider,onboard
5_70_rider_14,-74.0074428,40.7127928,2016/3/5 18:55:20,rider,onboard
5_70_rider_14,-74.00747903333334,40.71275081666667,2016/3/5 18:55:25,rider,onboard
5_70_rider_14,-74.00751526666667,40.71270883333334,2016/3/5 18:55:30,rider,onboard
5_70_rider_14,-74.0075515,40.712666850000005,2016/3/5 18:55:35,rider,onboard
5_70_rider_14,-74.00758773333334,40.712624866666665,2016/3/5 18:55:40,rider,onboard
5_70_rider_14,-74.00762396666667,40.71258288333333,2016/3/5 18:55:45,rider,onboard
5_70_rider_14,-74.0076602,40.7125409,2016/3/5 18:55:50,rider,onboard
5_70_rider_14,-74.0076602,40.7125409,2016/3/5 18:55:55,rider,onboard
5_70_rider_14,-74.00819553333334,40.71278006666667,2016/3/5 18:56:00,rider,onboard
5_70_rider_14,-74.00873086666667,40.713019233333334,2016/3/5 18:56:05,rider,onboard
5_70_rider_14,-74.0092662,40.7132584,2016/3/5 18:56:10,rider,onboard
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:00,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:05,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:10,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:15,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:20,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:25,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:30,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:35,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:40,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:45,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:50,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:15:55,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:00,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:05,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:10,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:15,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:20,point,display
